"Date","meet_inclusion_criteria","month","day","year","town","state","perpetrator_name","venue","num_shot_public","num_gun_fatalities_public","num_gun_injuries_public","num_shot_private","num_gun_fatalities_private","num_gun_injuries_private","public_victims_knew_perp","julian_day","during_ban","lknown_if_high_capacity_involved","lFAWB_banned_firearm","summary","reason_excluded","url1","url2","url3","url4","url5","url6","url7","url8","url9","url10","url11","url12","url13"
2012.95,"Yes",12,14,2012,"Newtown","CT","Adam Lanza","School and private home",29,27,2,0,0,0,"No",15688,0,1,TRUE,"The perpetrator shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children.","","http://bit.ly/2DhOknG ","https://cnn.it/2ROejag ","https://wapo.st/2T3DpTY ","https://abcn.ws/2z8jDOL ","https://nwsdy.li/2qGKFZ5 ","https://cbsn.ws/2B0UbvU ","https://wapo.st/2z8jJWD","","","","","",""
2012.74,"Yes",9,27,2012,"Minneapolis","MN","Andrew John Engeldinger","Workplace",8,6,2,0,0,0,"Partly",15610,0,1,TRUE,"The perpetrator, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver.","","http://strib.mn/2FfPm6k ","http://strib.mn/2DzSLep ","http://bit.ly/2FiX9jI ","http://bit.ly/2qHRLwn ","https://wapo.st/2z8jJWD","","","","","","","",""
2012.59,"Yes",8,5,2012,"Oak Creek","WI","Wade Michael Page","Public place(s)",10,6,4,0,0,0,"No",15557,0,1,TRUE,"The perpetrator opened fire in a Sikh gurdwara, killing six and injuring three.","","https://lat.ms/2zL3vCp ","https://cnn.it/2T0Zu5H ","https://every.tw/2qQaMNn","","","","","","","","","",""
2012.55,"Yes",7,20,2012,"Aurora","CO","James Holmes","Public place(s)",70,12,58,0,0,0,"No",15541,0,1,TRUE,"Perpetrator opened fire in a movie theater, killing 12 and wounding 58 others.","","https://cbsn.ws/2z3pLHV ","http://bit.ly/2RSPKJn ","https://dpo.st/2DgUIeJ ","https://cnn.it/2RKobBU","","","","","","","","",""
2012.38,"Yes",5,20,2012,"Seattle","WA","Ian Stawicki","Public place(s)",6,5,1,0,0,0,"Partly",15480,0,1,TRUE,"The perpetrator gunned down four people at a cafe and wounding another, and killed another person during a carjacking nearby.","","https://abcn.ws/2Pquj5m ","https://thebea.st/2Ppyoqv ","http://bit.ly/2T6Q1d1 ","http://bit.ly/2DgzY6U ","http://bit.ly/2QJCtlW ","https://every.tw/2qQaMNn ","https://wapo.st/2z8jJWD","","","","","",""
2012.25,"Yes",4,2,2012,"Oakland","CA","One L. Goh","School",10,7,3,0,0,0,"Partly",15432,0,1,FALSE,"The perpetrator, a former student at the college, opened fire in a nursing classroom, killing seven and injuring three.","","https://bit.ly/2T8oPuo ","https://nyti.ms/2qLEm6u ","http://bit.ly/2DiKNW6 ","https://cbsn.ws/2qKov85 ","https://bayareane.ws/2PWsHjt","","","","","","","",""
2012.14,"Yes",2,21,2012,"Norcross","GA","Jeong Soo Paek","Public place(s)",4,4,0,0,0,0,"Yes",15391,0,0,FALSE,"Perpetrator entered a spa, shooting and killing four family members.","","http://bit.ly/2OH4QzE ","https://2wsb.tv/2qK1pyH ","https://cnn.it/2B2Sr5k ","https://every.tw/2qQaMNn ","https://on-ajc.com/2RPg5I8","","","","","","","",""
2011.78,"Yes",10,12,2011,"Seal Beach","CA","Scott Evans Dekraai","Public place(s)",9,8,1,0,0,0,"Partly",15259,0,1,TRUE,"Perpetrator opened fire inside a hair salon where his ex-wife worked, killing eight and injuring one.","","https://every.tw/2qQaMNn ","https://lat.ms/2OHxD6Y ","http://bit.ly/2PXLqLr ","http://bit.ly/2zPmN9D","","","","","","","","",""
2011.68,"Yes",9,6,2011,"Carson City","NV","Eduardo Sencion","Public place(s)",11,4,7,0,0,0,"No",15223,0,1,TRUE,"Perpetrator opened fire at an International House of Pancakes restaurant, killing four and injuring seven.","","http://bit.ly/2K04bbP ","http://bit.ly/2RSDUyD ","http://bit.ly/2K1phX4 ","http://bit.ly/2B4cdgQ ","https://every.tw/2qQaMNn ","http://bit.ly/2DkJdTN ","http://bit.ly/2qIxPcP ","https://nbcnews.to/2QFRFki","","","","",""
2011.56,"Yes",7,23,2011,"Grand Prairie","TX","Tan Do","Public place(s)",9,5,4,0,0,0,"Yes",15178,0,0,FALSE,"The perpetrator opened fire at a birthday party in a roller rink, killing five and wounding four.","","https://dailym.ai/2B5pfuJ ","http://bit.ly/2Dl9uBr ","http://bit.ly/2z2TPna ","https://nbcnews.to/2RQNdz9","","","","","","","","",""
